,0,1,2,3,4,5
396,HHECABBCDFG,AACCDFFFGHG,HGGGFEDCAAA,AACEHHGFDCC,AACDFFGGGFE,HHGFECBBBBB
397,DGGGGFEDBAA,HGGGGECCBAA,AABCCDEFGHH,HHHECBBBBCC,CBCGHHEBDFA,EECBBBBDFHH
398,CDCBBGHHGDA,ABDGHHGEDCB,ACGHHGDBBCD,BEGHHGECBAA,GGGDBAACEGH,GGEBAACEGGD
399,BBCBBGHHFDD,GHHGEDBAADE,HFCAABDEFGG,AADHHGGFDCB,GGGEBAABEGG,GDABEGHGCAC
400,EFGGFCDGEAA,DFECAABFHHG,DBAACFHHGDB,CAABDGGFEFH,GHHGDCBBBBC,CBCDGHDABGH
401,AABCEFFGGGG,GGGGFFDCBAA,AAACDEFGGGH,HHGFEDCCBBA,BAABCDFGGGH,FCGEFFEDFBA
402,GGGGFEDCBAA,DCCBBBBDGHH,ABCDEEEGHHB,DBAABDEGGHH,GGGGGFDBAAA,DCBABBDFGHH
403,HHGBBCCBCDE,FGGDFEEBCBC,AABCDEFGGGH,HEBAACEGGGF,HHGGFECBBAA,BBBBCDFGHHC
404,FEGCABGHFBA,ACGGEBBBEHH,FBEDGHGBABC,DAAGGCDGFEG,GGFECEHFBAB,GGDABEHGBBE
405,ABBDECBDHHG,GECAABFHGED,AABDEFEFGGH,HHFEDCBCCBA,CEGHGDAABEG,GGGFCAABEFF
406,GGGGFEFCAAB,FDBAAEFEFGH,DCEGHGEAABE,GDBAACEGGGG,EFGFEEGGDAA,BEFEAACFHFG
407,HFDBCBBBCGH,AABDEDFHGHF,HHGGFECBAAB,DFHHGFDBAAC,AABCEFFGGGG,GGGGFFEBBAA
408,BCDCFHEBAFH,HGDAABFGGEC,AACEEEEFFGH,HHGFDBBBBCD,EDCBDFHHFBA,ADFHHFBABEG
409,AABFGEEGHFD,CBDGHHGDBAB,EECAABDFGHH,DFHHGFDBAAA,GECCDGHHDAB,ECBDGHEABFG
410,FFGFFGFDAAA,DBADDCBFGGH,AABEGGGGGEC,AAACGGGGFED,HHGEDCCBBBB,BABCEGHHEDD
411,HHGECCBCCBB,ABBBDDFHHGF,GFEDBAACEGH,HFCBAACEFGH,GHHGFDCBBAA,CCAACEGHHFD
412,ADGGHGGECAA,GFDCBBBCEGH,ACFGHGGEDBA,BBCBBCEGHHH,HHGGFDCBBAA,ABBBCDEFGHH
413,CAEGDGHDAEF,EBABFHHEBDE,EHFBABCGECF,BBEBFFBBFHH,EDCFHGCAADG,FBACGHDABFH
414,ACFGHGGFDBA,HGEDBAABDFH,ACEGHGGFDCA,BBCBBCEGHHH,HHGGFECBBAA,ABBBCDEGGHH
415,HFECBADGFEE,AAABDDEFGHH,GGGGFFEDBAA,AABDFHHGFED,DCBAACFGGHH,CEHHDGDBBCC
416,DCAABDGHHGF,BABCDDFHHGC,HGDBABCDEFG,GHHGFEDCBAA,AABDEFGGGGF,BCCCEGHGFBA
417,BCFFGHGFEAA,GFGGFFFDBAA,AABBCEFFGHH,CGHHFCABBCD,EEEGHHEBBBA,DEDBBBBEFHH
418,EGHGGFEBAAA,ACCCFHHGECC,AABCCDFGGHH,GHHFEDCCBAA,FCABCEHHGCD,FFCBCFACHEG
419,BBDFEHEABHG,EAACGHFDFFD,AAFFEDEGGGD,AABEFEDEGGH,HHGGFECBAAB,DFCADGDAFHF
420,FFECHGEECAA,HHGFEEECAAA,AABBCDEFGHH,HHFDBABCCDE,ABEGGEDFGEA,EEBBBADGGHG
421,ABBCCDEFGHH,EFGGGGFDBAA,BAABDEFGGGH,AACGGGGFEDC,HGFCAABCEFG,FFHHFFECBAA
422,CFGGEGFAADB,BCBABEEEGHH,DGGGFBABEGE,HDAABCEFGGF,GHGCAABDDFH,GDAABEGHEEG
423,CEGHHFDDBAA,HHHGECCCBAA,BAACEEEEEGH,FHHFCAABCDE,HHECCFFDCAA,EEDDCBBBEGH
424,AABCEFFGGGG,FGGGGFEDBBA,HHGECBBBCCD,AAABDEGGGGG,HHGGFDBABBB,AABDEFGGGGF
425,CABGEBDHHEB,ADGGEBACGHE,BABEHHGECDE,DABGFBEHGFC,CCFHHDBAADG,HEBBEHHEBBB
426,CDCBFHHGDBA,CGHHFCAABDG,HHFCACBBCDE,FGHGGECBBBB,EEBBCEGHGDA,AACEGHHGCCE
427,EECAABDFGHH,GGGGFFEDCAA,BAABCEFGGHH,HHGFEDCBBBA,AABDEFGGFGG,FFFGGGEDCAA
428,DDCBCGGHFCA,EEDCBBBCEHH,ABCDEEEGHHC,HGCBBBBDEEE,GFFFFFGFAAA,DDCBDCBCEHH
429,AAACDCEHHGG,CDCBABCEGHH,EFGGGGEDBAA,GECBBABEGHH,AACCCFFFHHF,FDFFEGHFCAA
430,BBBBADFFHHH,FFFFFGFDBAA,DBAACDFGGHH,EGHHFEDCBAA,CBAACEGGGGG,CCDEFGHGFBA
431,ADECEGDHEBF,GGGGGFECBAA,AABCDEFGGGG,HHHFDDCCBBA,DCBAACEFGHH,HGDDDABEFBF
432,DFFHHFFCBAA,HHGDDFDCBAB,ABCDDEFEDGH,GHHFDBABCCC,AACFGFDGGGA,EFDABDBCFGH
433,GDBBECABEHH,FHFDBECAAEH,HGFEDFECBAA,DFHHGECBABE,ADBBGGHGEBE,FEFGHGEDAAA
434,ECCGFBABGHF,CBBEHHEBCDG,HFBEDFFCBBB,BACHFCFEEEG,FGEDDCEHGBA,BDFHFBABEHG
435,AABCFGGGFFF,GGGGGEDCBAA,AABCEFGGGGG,ABGGEFFFFDB,HHFDBAABCEG,AACDEEGHFFF
436,CDGFHEDGEBA,AADGHGFEDDE,ABEGHHGDABD,BDHHGFDBABD,GGHGDCDEDAA,BDEGHEAADGG
437,CBBCBBDFGHH,EDDABGHGEDA,FEBAABDFGGH,HHGFEDCBBAB,AADDCFGHHFD,FGEEFHGDBAA
438,HHEBCECCCCC,BABBDDEGGGH,AABCEGGGGGF,GDDGHGEBBBA,HGEDBBBCCDF,FFHHDADCDEA
439,DGHGFFEBCBA,CDDFHHGFBAA,AABCDFFGGGG,GHHFDDCCBBA,GECBAACEFHH,GHEBCDADFDG
440,ADFGHGGECAA,HGECBBABDFH,ABEGGGGFECB,BBBBBCEGHHH,HHGGFECBBAA,ABBBCDEFGHH
441,HHFDBDDCCBB,BBBBBDDFGHH,ABCEGHHGFCC,GGFDHGAACDC,HHEBAAFEEDC,GFEDEEFFDCA
442,GHFBCDDCDDB,GHGGGEEDBAA,AABBCDFGGGH,HCAABDFGGGG,HHGGFDCCBAA,ABDDGEGFCGE
443,GHGFFFDCBAA,GECBBBBBEHH,BBCEFEEGHGA,BAABCDFGGHH,HGGGFEDBBAA,CBABBDDFGHH
444,GGGFEGFCBAB,CBCBBBDEGHH,ABDEGEHFEFC,AAACGHGGFFE,HHGFEDCBBBA,AABDFFGGGGD
445,ECBGGCABFHE,BABFHGDBCFH,HEBBEHGBACE,HDFCAADHGED,CFHGCAACGGD,ABCFHFBBCGH
446,AACDFGGFGGF,GGGGGFDCBAA,AABDEFGGGGG,AAFEDDFGGFE,GGECAAACEGH,GHHGEEBCBAA
447,EFHHGFDCBAA,FGEDCEEFFEA,AACGFGFEBEH,FHHGFDBBBBB,GFDAABEGFFH,CBABBCEEFHH
448,FHGFDFEDBBA,BAAEGFGHFDC,HHGFEDCBBAB,ABEHHGFDCBB,GEBABBCCFHH,CBAACEEGFGH
449,AADEFFFGFFF,GGGGGEDBBAA,AACDFFGGGFF,HHGBBABDEEC,HGECBAACEGH,ACEEFGFGGDA
450,ADFGHGGECAA,EDCBBBBDFHH,BEGGHGFDCAA,BBCBBCEGHHH,HHGGFECBAAA,AABBCDEFGHH
451,HHGDBBBCCDE,AABCFGGGGFD,HGDBABCDFGG,HHGFEDCBBAB,AACDFFGGGFF,HHGGFBCCBBB
452,HGEAAFGEEEC,HGEBECCBECF,AABCEFGGGGE,HFBABBDEFFF,HHGGFDCBBBA,BBBBCDEFHHF
453,EFGGGGECBAA,ABBBBEFGGHH,EGHHGDBBBBB,HHGECAABDFD,ABBCDGHGCEH,EBBDFEABEHH
454,CDFGEHFAAEC,DFFDBABCFHH,EEEFHGGEBAA,DGHGDBABEEE,FDDCBECAEHH,EBABCFHGDFH
455,GGGFFGFDBAA,FDBBBBCDFHH,AACDEFFFGHE,GDAAACEGGGG,GGGGGDCCCAA,ABBEEBDFGGH
456,ACFGHGGECBA,FECBBBBCFHH,AEGGHGFECBA,BBCBBCEGHHH,HHGGFDCBBAA,ABBBCDEGGHH
457,HHGDBBCBBCE,EBBDCBCDFHH,AABCEFFFGGH,HGCBBBDEEEE,HHGFFEDCBAA,GHGEDCDDBCB
458,AABCDEEFGGH,GGGGGFECBAA,AABDEFGGGGG,AEHFCCEFFDA,HGECBAACEGH,DGHGECFDDBA
459,BBBCCBCFGHH,FEFCBGHFCBA,GDAABCEFGGH,FGHGFEDCBAA,BAACEDEGFHH,EDFGFGHFCAA
460,FDAAGHEFFBE,EBADHHGECCD,BFHHEDFDABC,HCABCBBEGHG,FEBAABDFGHG,ADFFDBEHHEA
461,FDCCCBADFHH,FCBDBADHHGD,HGFGGDCAABC,EGHGFDBAACG,BACDFHHGCBE,GGHHFCAABCD
462,CCCBABEFHHG,GGGFFFDDCAA,BAABDEFGGGH,HHGFEDCCBBA,AABCEGGGGGG,GDBABDHHGEB
463,GEBEGBFGBAE,AABFECCGHGF,EGHFDEFFBAA,GGCAACFGHFD,CDFHHGECAAB,ACEGFBADGHF
464,HHFCCCDCBCB,CBBBBCDGGHH,GGGGFFECBAA,AACEHHGFEDC,AAACEFFFFGH,HGCBDGGDCCA
465,GDCBCFBADGH,GHFDDAAEFCB,ECEBABDFGHH,HGECBBABDGH,AACEFHHGCCF,GFGHGFDCAAA
466,AABCDEGGGGG,GGGGFECDBAA,BAACDEFGGGG,FHHGEEDCBAA,DCAABCEFGHH,ACFEEGGGGBA
467,AABDGGGGFDC,GHGFADDEBBD,AABCDEFFGHH,HGBACCCDEFE,HGFDFFCCCDA,BBBCBCDFHHG
468,HHGGEDCBBBA,ABBBBEFGGFH,AACEGGGEDFE,AAABDFFGGGG,HHGFFEDCBAA,CDCBBCBEHHH
469,HHHGEDCBBAB,CCCCBBBEGHH,ABDEGGGGDCE,GHGCAADFFED,HHGGECCBBBB,ABBBCCEFGHH
470,BDGHGGFEBAA,EDCBBBBDFHH,CFGGGGFDCAA,BBBBBCEGHHH,HHGGFDCBBBB,AABBCDEGGHH
471,BBBDDBDFGHH,EFFBDHGECAC,GDBAACDFGHH,GHHGFEDCBAA,AABDDDFFGHG,DFGFFGGDCAA
472,HHGECBBBBCE,AABCDFGGGHG,HHGFDBAABCE,GHHFECBAADG,AACEEFFGGFG,HHGGEECBBAA
473,BDDBCHHEABG,HGFDBAADFFE,BBDFHHHEBAA,AABDGGGGFEE,HGFFFCAABEG,FGFBABEGHFA
474,DEGGHFCFEAA,ABFHGGGFCBD,GHHECBBCEDB,BAABDGHGGFE,HHGEBAABDFD,BBEGGCACGHD
475,ACCCBFFGHGF,HHFCCCBCCCD,AABCDDEFGHH,HEBBBCDEFFF,HHGGFEDBBAA,ABBDDBEHHHF
476,HHHFDDDCBAA,BDBABDFFFHH,ABBCDDEFGHG,HDAABCEFGGG,GHHGFECBBAA,HGFDEABDBEE
477,EGHGGDDDCBA,BBABDBEHGGH,HGDCEECBABF,EGHHFECBBBA,FCABBBCFGHH,ABBACEDFGHH
478,HHGFEDCCBAA,BBABCDEGGHH,DFGGGGFDBAA,DBBBBBDHHGG,HHGGFECBAAA,AABBCDFFGHH
479,ADGGHGFECAA,EDCBBBBDFHH,BEGGHGFECAA,BBCBBCEGHHH,HHGGFDCBAAA,ABBBCDEFGHH
480,HHGDDEDCABB,BABCCEECGHH,BEGGGGFECBA,CCBCCHHGDBB,HHGECBAACEF,ABDDCGGFDGD
481,HHGCACDBCDE,HHFEBDCBBBE,AACDEDEGHHF,GDBAACFGGGG,HHHGECCBBBA,DDDEEHHGCAA
482,HHDBACCCDEF,GDFHHGDCBBA,FDBBBBCEGHH,HHGEDBBABDF,CEFGHHFDBAA,AACEDCGHHGB
483,HHFDCBCDCBB,DCBBBBDFGHH,HHHGEDBAABC,BDGHHGEDBAA,BAABCEFFGHH,HECDFDEFFBA
484,BBBBCDFFGHH,FGGGGFECBAA,AABCEFFGGGG,HHGEDCCCBBA,CBBABCEFGHH,HHHFEDCCBBA
485,FEBABBBDGHH,DEFGGGFECAA,HHGFDBABBCD,CEGHGFEDBAA,AABCEFGGGGG,HGGFFEDCBAA
486,FFGGEGEAADD,CAAEFDCGHGG,GGGHECDECAA,AABDGHGFFEE,GGGDAABDEEH,FCAABDFGEGH
487,DCCEHGHFBBA,HHGEDEDBAAB,ABBCCDDDFHH,HHHFDBABBCD,DFGGHGDBABA,FEDBBCAEFGH
488,ADGHGGFEDBA,BAACDDDFHHF,HHFDDEDDCBA,AACGHGGFDDD,HHHECCCCBBA,ABBCCCEEFHH
489,GHHGEEDCBAA,CCBBBBDEGHH,FFFGFGFEBAA,ABGHFECDFEC,HHGFEDDBBAA,BBBCCCDFGHH
490,HHGECDDBABB,DBABCCDEGHH,ACEGHHGEDBA,DBDGHFDABEC,HHGFECBABBD,CCBBCCGHDFG
491,ABDECHHFDED,DEFFFGGGCAA,GGHGFEDCAAB,BDGHHGECBBA,HGEDBAAEFGG,ABBBCDEFGHH
492,HHGFFEDCBAA,BBBBCDDFGHH,BEGGGFFFDAA,FBBABGGCCGH,HHGFEDBBBBB,AABBCEFGHGG
493,BBBDCCCEGHH,GFGFCCGFCBA,HGDBABCDEFG,AABDGHGGFED,GFDBAADFFGH,FFDEFFGFDAA
494,GHHGFEDBAAA,FFDCBABBEHH,BDEFFGGGDAA,BAABCDFGHHH,GGGGFEDBBAA,EDCBBBCDFHH
495,HEBAACGDFEH,ABDCDCCEFGH,ABBCFDEFHGG,HGGFDEECBAA,HHFBBACBEDD,EDDFGGHDCAB
496,ADDBBFFGHFE,GGGFFFEDCAA,AABCEFFGGGG,HHGEDCCCBBA,AAABDEFGGHH,DBBBDFFHHFA
497,DFFDFHGFDAA,HHGECDCCDAA,AABCEFGGHGF,ADHFCADHGFD,HHGFDDCBBBB,BBBBBCEFGHH
498,CDDGHGEBACG,HGFDBAABDGG,FCAABCDFGHH,HHGDCBCCBBC,EGHGDAABCED,CABDGHHEBCF
499,EGHGGFECAAA,CCDFGHHFDAA,AABDEFFGGGG,GHHECCCCCBA,DCBABCEFGHH,HHGECBBBCDE
